Station Name,Water Year,Snow Water Equivalent (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values
Brumley,1986,0,0,0,2,3.3,5.8,4.7,6.9,5.3,7.7,8.9,11.5,8.4,13.6,9.3,17.3,0,19.3,0,20.5,0,23.6,0,26.2
Brumley,1987,0,0,1.5,2.9,3.8,5.5,3.1,5.9,5.3,8.6,6.7,10,9,12.5,3.6,13.5,0,15.5,0,17,0,17.8,0,21.1
Brumley,1988,0,0,0.2,0.8,0.4,2.3,3.2,4.5,5.5,7,7,8.5,9.2,11.4,3,12.8,0,13.3,0,16.3,0,18,0,18.3
Brumley,1989,0,0,0,0.7,2.7,4.1,4,5.9,5.1,7.1,8,9.9,8.7,11.7,3.5,14.2,0,17,0,18.1,0,22,0,23.3
Brumley,1990,0,0,0,1,1,2.8,3.9,5.1,5.4,6.9,6.1,8,8.4,10.8,10.1,15.3,0,16.4,0,17.6,0,19.6,0,20.4
Brumley,1991,0,0,0,2.3,2.1,4.4,3.1,5.9,4.1,7.1,5.1,8.6,10.1,13.1,11.4,15.8,0,16.3,0,19.2,0,20.8,0,21.6
Brumley,1992,0,0,1.4,1.9,5.3,5.7,5.1,6.4,4.9,7.1,6.2,8.5,8.6,11.1,4.6,12.5,0,14.9,0,16.8,0,20,0,22.8
Brumley,1993,0,0,0.6,2,2.7,4.7,4.4,5.8,6.5,7.4,9.6,11.1,13.4,14.8,16.8,18.2,0,19.6,0,21.2,0,22.6,0,24.8
Brumley,1994,0,0,0,2.4,2.9,4.8,4.2,6.1,6.5,7.6,8.7,10.1,9.3,11.7,10.2,15.5,0,17.7,0,18.8,0,19.2,0,20
Brumley,1995,0,0,0.4,2.5,3.5,5.3,4,5.8,6,7.8,9.1,11.5,13.2,15.6,16.6,20.5,17.1,28,0,30.4,0,32.5,0,35.5
Brumley,1996,0,0,0.1,1.7,3.1,4.5,4.8,7,9.7,11.2,12.8,14.5,15.2,17.1,15.5,19.8,0,21.2,0,23.1,0,24.4,0,24.8
Brumley,1997,0,0,1.4,2.7,3.4,4.8,7.5,8.5,11.6,12.2,12.3,13.4,12.6,15,13.7,19.2,0,23.1,0,24,0,24.8,0,27.3
Brumley,1998,0,0,1.2,2.8,3.5,5.3,3.7,6.1,5.5,8.2,6.7,9.5,9.1,12.6,11.9,15.7,0,15.9,0,17.7,0,21.8,0,23.2
Brumley,1999,0,0,0.1,2,1.2,3.2,1.2,4.2,4.6,7.4,6.5,9.5,6.6,10.8,8.8,15.5,0,18.2,0,20.4,0,22.7,0,26.7
Brumley,2000,0,0,0.6,1.4,1,2.2,2.2,3.9,4.9,6.7,6.8,8.6,9.4,11.6,6.2,14.1,0,15.8,0,17.5,0,19.3,0,20.7
Brumley,2001,0,0,1,1.9,1.9,3.3,3.9,5.3,4.6,6.5,6.5,8.5,9.7,11.6,7.8,14.6,0,17.5,0,18.6,0,21,0,24.1
Brumley,2002,0,0,0.1,2.2,1.9,4.5,2.4,5.8,3.1,6.2,4.8,7.5,5.7,9.8,0,11.2,0,11.9,0,12,0,13.3,0,14.2
Brumley,2003,0,0,1.3,1.5,3.7,4,4.1,4.9,4.8,5.6,7,8,9.3,10.6,8.7,12.9,0,15,0,16.1,0,17.3,0,18.5
Brumley,2004,0,0,0,0.7,2,3,3.2,4.7,3.8,5.6,5.1,7,4.8,8.8,4.9,11.9,0,13.3,0,14.5,0,17,0,18.4
Brumley,2005,0,0,0,0.6,1.6,2.5,3.3,4.2,5.9,6.7,6.9,8.2,8.8,9.7,6.9,11.5,0,13.6,0,15.1,0,16.5,0,17.9
Brumley,2006,0,0,0.1,2.9,2.8,5.6,7,9.3,9.8,11.5,11.1,13.5,12.9,15.1,7.2,17.4,0,19.2,0,19.6,0,20.9,0,23.6
Brumley,2007,0,0,1.3,3.1,3.6,5.5,5.2,7.2,6.1,8.5,8,10.7,9.7,12.9,5.9,15.7,0,18.3,0,19.3,0,21.9,0,25.1
Brumley,2008,0,0,0,2.1,1.1,3.3,4.3,6.8,7.7,10.6,12.1,15.2,15.1,18,14.6,20.3,1.4,22.9,0,24.2,0,25.4,0,27.6
Brumley,2009,0,0,0,1.4,2.8,3.7,6.3,7,9,9.2,10.7,10.9,11.7,12.8,5.7,15.5,0,18.9,0,20.2,0,21.6,0,22.1
Brumley,2010,0,0,0.7,2.7,0.6,3.3,3.5,6.5,5.6,8.5,8.7,11.1,11.5,13.4,8.4,16.3,0,17.9,0,19.1,0,20.6,0,23.3
Brumley,2011,0,0,1.3,3.1,3.3,5.2,6.8,8.4,8.9,10.4,11.5,12.9,14.3,15.6,17.2,20,7.5,23.2,0,24.1,0,26,0,27.4
Brumley,2012,0,0,0.6,2.3,2.1,4,2.4,5.3,4.2,7.2,6.2,9.2,3.8,9.9,0,11.4,0,12.2,0,12.3,0,14.3,0,16.3
